cuda
>>> Training on scheme:  random_split
Training on fold 1
asformer

>>> Training

Train - Loss:0.5938, Accuracy:0.4235, F1:0.4433, Precision:0.4245, Recall:0.4639                || Val - Loss:0.3794, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:1
Train - Loss:0.4730, Accuracy:0.4592, F1:0.3614, Precision:0.4348, Recall:0.3093                || Val - Loss:0.3275, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:2
Train - Loss:0.4583, Accuracy:0.5102, F1:0.3766, Precision:0.5088, Recall:0.2990                || Val - Loss:0.3363, Accuracy:0.9000, F1:0.8824, Precision:1.0000, Recall:0.7895 Epoch:3
Best model updated:  0.336341592296958
Train - Loss:0.4405, Accuracy:0.6429, F1:0.5833, Precision:0.6901, Recall:0.5052                || Val - Loss:0.2314, Accuracy:0.9000, F1:0.9000, Precision:0.8571, Recall:0.9474 Epoch:4
Best model updated:  0.23144266037270428
Train - Loss:0.3956, Accuracy:0.7755, F1:0.7660, Precision:0.7912, Recall:0.7423                || Val - Loss:0.1777, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:5
Best model updated:  0.17769494738895447
Train - Loss:0.3359, Accuracy:0.7959, F1:0.7674, Precision:0.8800, Recall:0.6804                || Val - Loss:0.1585, Accuracy:0.9250, F1:0.9231, Precision:0.9000, Recall:0.9474 Epoch:6
Best model updated:  0.15848605093924562
Train - Loss:0.3191, Accuracy:0.7959, F1:0.7701, Precision:0.8701, Recall:0.6907                || Val - Loss:0.1795, Accuracy:0.9000, F1:0.9000, Precision:0.8571, Recall:0.9474 Epoch:7
Train - Loss:0.3647, Accuracy:0.8112, F1:0.8213, Precision:0.7727, Recall:0.8763                || Val - Loss:0.1763, Accuracy:0.9000, F1:0.9000, Precision:0.8571, Recall:0.9474 Epoch:8
Train - Loss:0.3402, Accuracy:0.7755, F1:0.7800, Precision:0.7573, Recall:0.8041                || Val - Loss:0.1606, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:9
Train - Loss:0.2876, Accuracy:0.8214, F1:0.8128, Precision:0.8444, Recall:0.7835                || Val - Loss:0.1681, Accuracy:0.9000, F1:0.9000, Precision:0.8571, Recall:0.9474 Epoch:10
Train - Loss:0.3901, Accuracy:0.7398, F1:0.7463, Precision:0.7212, Recall:0.7732                || Val - Loss:0.1932, Accuracy:0.9000, F1:0.8947, Precision:0.8947, Recall:0.8947 Epoch:11
Train - Loss:0.3364, Accuracy:0.7857, F1:0.7529, Precision:0.8767, Recall:0.6598                || Val - Loss:0.1573, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:12
Best model updated:  0.15728930867044255
Train - Loss:0.3120, Accuracy:0.7959, F1:0.7849, Precision:0.8202, Recall:0.7526                || Val - Loss:0.1331, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:13
Best model updated:  0.13309065078474305
Train - Loss:0.3776, Accuracy:0.7908, F1:0.8075, Precision:0.7414, Recall:0.8866                || Val - Loss:0.1579, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:14
Train - Loss:0.2852, Accuracy:0.7959, F1:0.7802, Precision:0.8353, Recall:0.7320                || Val - Loss:0.1306, Accuracy:0.9250, F1:0.9231, Precision:0.9000, Recall:0.9474 Epoch:15
Best model updated:  0.13059087052752147
Train - Loss:0.2855, Accuracy:0.8520, F1:0.8415, Precision:0.8953, Recall:0.7938                || Val - Loss:0.1788, Accuracy:0.9250, F1:0.9268, Precision:0.8636, Recall:1.0000 Epoch:16
Train - Loss:0.3094, Accuracy:0.8061, F1:0.8021, Precision:0.8105, Recall:0.7938                || Val - Loss:0.1220, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:17
Best model updated:  0.1220173195057214
Train - Loss:0.2639, Accuracy:0.8571, F1:0.8571, Precision:0.8485, Recall:0.8660                || Val - Loss:0.1284, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:18
Train - Loss:0.3025, Accuracy:0.8367, F1:0.8351, Precision:0.8351, Recall:0.8351                || Val - Loss:0.1295, Accuracy:0.9000, F1:0.9000, Precision:0.8571, Recall:0.9474 Epoch:19
